nationality,sex,gold,silver,bronze
UAE,male,0,0,1
UGA,female,0,0,0
UGA,male,0,0,0
UKR,female,0,4,2
UKR,male,2,4,3
URU,female,0,0,0
URU,male,0,0,0
USA,female,85,29,35
USA,male,54,25,36
UZB,female,0,0,0
UZB,male,4,2,7
VAN,male,0,0,0
VEN,female,0,1,1
VEN,male,0,0,1
VIE,female,0,0,0
VIE,male,1,1,0
VIN,female,0,0,0
VIN,male,0,0,0
YEM,female,0,0,0
YEM,male,0,0,0
ZAM,female,0,0,0
ZAM,male,0,0,0
ZIM,female,0,0,0
ZIM,male,0,0,0
